country,region,basin_name,operator_company,hydrocarbon_type,reservoir_status,reservoir_period,lithology,basin_location_inferred,basin_location_external,tectonic_regime_basement-i,tectonic_regime_compression,tectonic_regime_diapir,tectonic_regime_erosion,tectonic_regime_evaporite,tectonic_regime_extension,tectonic_regime_gravity,tectonic_regime_inversion,tectonic_regime_linked,tectonic_regime_reactivation,tectonic_regime_shale,tectonic_regime_strike-slip,tectonic_regime_synsedimentation,tectonic_regime_transpression,tectonic_regime_transtension,tectonic_regime_uplift,structural_setting_backarc,structural_setting_delta,structural_setting_forearc,structural_setting_foreland,structural_setting_intracratonic,structural_setting_inversion,structural_setting_passive-margin,structural_setting_rift,structural_setting_salt,structural_setting_sub-salt,structural_setting_sub-thrust,structural_setting_thrust,structural_setting_wrench,depth,thickness_gross_average_ft,thickness_net_pay_average_ft,porosity,permeability,is_in_water,is_on_island,is_in_gulf,is_in_strait,is_in_delta,is_in_bay,ref_onshore,ref_offshore,ref_lake,onshore_offshore
unknown,unknown,maturin,pdvsa,oil,declining production,cretaceous-paleogene,sandstone,onshore,onshore,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12550,1000.0,650.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,williston,anschutz and others,oil,mature production,carboniferous,limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4840,100.0,10.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,gulf of mexico northern onshore,numerous,gas,rejuvenating,cretaceous,limestone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5852,250.0,15.0,18.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
russia,unknown,timan-pechora,komineft,oil,declining production,devonian,limestone,onshore,onshore-offshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3493,980.0,200.0,12.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
australia,far east,bonaparte,woodside,gas-condensate,undeveloped,jurassic,sandstone,offshore,onshore-offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6660,591.0,279.0,14.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
usa,north america,permian,gulf oil,oil,nearly depleted,permian,limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9600,120.0,35.0,9.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,big horn,numerous,oil,abandoned,carboniferous,sandstone,onshore,onshore,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4000,250.0,110.0,17.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
india,far east,cambay,ongc,oil,rejuvenating,paleogene,sandstone,onshore,onshore-offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3136,492.0,21.0,30.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,jeanne d arc,hibernia management development co,oil,plateau production,cretaceous,sandstone,offshore,offshore,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10890,650.0,128.0,16.0,700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
venezuela,latin america,eastern venezuela,pdvsa,oil,plateau production,paleogene,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12750,1600.0,850.0,15.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,western canada,bp and others,gas-condensate,mature production,carboniferous,dolomite,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8750,140.0,70.0,12.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
trinidad and tobago,latin america,eastern venezuela,petrotrin,oil,nearly depleted,neogene,sandstone,onshore,onshore,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2100,2000.0,1000.0,25.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk,europe,north sea central,bp,gas-condensate,declining production,paleogene,sandstone,offshore,offshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8008,85.0,50.0,22.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
unknown,unknown,maracaibo,pdvsa,oil,mature production,neogene,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1400,500.0,120.0,35.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore-offshore
usa,north america,anadarko,bp,oil,mature production,carboniferous,limestone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4075,150.0,10.0,22.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
norway,europe,north sea central,statoilhydro,gas-condensate,abandoned,cretaceous-paleogene,chalk,offshore,offshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,9629,640.0,550.0,20.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
indonesia,far east,kutai,chevron,oil,mature production,neogene,sandstone,offshore,onshore-offshore,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5675,500.0,180.0,28.0,1628.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,offshore
norway,europe,north sea central,conocophillips,oil,mature production,cretaceous-paleogene,chalk,offshore,offshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,9520,800.0,490.0,21.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
turkmenistan,former soviet union,caspian south,dragon oil,oil,developing,neogene,sandstone,onshore-offshore,onshore-offshore,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10100,8200.0,260.0,18.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
unknown,unknown,delaware,bp,oil,nearly depleted,permian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5600,300.0,151.0,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
kazakhstan,former soviet union,caspian north,karachaganak integrated oraganization,gas-condensate,rejuvenating,devonian-permian,limestone,onshore,onshore-offshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11870,6600.0,2600.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,permian,total,oil,second plateau prodution,permian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5800,1300.0,400.0,4.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,fossil,chevron /bp,gas-condensate,declining production,carboniferous,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13300,750.0,261.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,western canada,canadian superior,oil,mature production,cretaceous,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3050,165.0,35.0,25.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,canadian natural resources,oil,nearly depleted,triassic,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3800,85.0,12.8,12.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,greater green river,cabot oil and gas,gas-condensate,declining production,cretaceous,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13665,350.0,19.0,14.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
iran,middle east,zagros,nioc,oil,mature production,paleogene-neogene,dolomitic limestone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3150,1600.0,672.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,chevron,oil,declining production,devonian,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5700,80.0,13.0,13.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
china,unknown,qaidam,petrochina,oil,plateau production,paleogene,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10427,804.0,93.0,14.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
libya,africa,sirt,lnoc,oil,mature production,paleogene,limestone,onshore,onshore-offshore,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5430,300.0,120.0,22.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,gulf of mexico northern onshore,hillcorp energy,gas-condensate,mature production,paleogene,shaly sandstone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,10940,265.0,130.0,26.0,425.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,onshore
australia,far east,gippsland,exxonmobil /bhp billiton,oil,temporarily shut-in,paleogene,sandstone,offshore,onshore-offshore,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4360,98.0,49.0,27.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
indonesia,far east,sumatra south,asamera,oil,declining production,neogene,limestone,onshore,onshore,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2650,164.0,54.0,17.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
china,far east,bohai,sinopec,oil,mature production,paleogene,sandstone,onshore-offshore,onshore-offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4462,6562.0,153.0,25.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
neutral zone,middle east,the gulf,arabian oil co,oil,unknown,cretaceous,limestone,onshore-offshore,onshore-offshore,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6825,550.0,173.0,22.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
egypt,africa,abu gharadig,bapetco,gas-condensate,declining production,cretaceous,sandstone,onshore,onshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11200,1378.0,446.0,14.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,paradox,rim energy,oil,declining production,carboniferous,dolomite,onshore,onshore,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5575,80.0,46.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,anadarko,conocophillips and others,oil,nearly depleted,carboniferous,dolomite,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4580,50.0,12.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
kazakhstan,former soviet union,caspian north,tengizchevroil,oil,developing,carboniferous-permian,limestone,onshore,onshore-offshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12746,3500.0,1500.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,alberta energy company /westcoast petroleum,oil,declining production,cretaceous,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2950,72.5,36.5,27.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,gulf of mexico northern onshore,exxonmobil,gas,declining production,paleogene,sandstone,onshore,onshore,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,11487,290.0,70.0,11.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,onshore
china,far east,turpan (turfan),petrochina,oil,declining production,jurassic,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9186,951.0,67.0,12.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk,europe,north sea northern,bp,oil,abandoned,jurassic,sandstone,offshore,offshore,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10525,410.0,180.0,18.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
china,far east,jianghan,sinopec,oil,nearly depleted,paleogene,sandstone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2421,5900.0,28.0,18.3,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
papua new guinea,far east,papuan ftb,chevron,oil,declining production,cretaceous,sandstone,onshore,onshore-offshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5084,328.0,300.0,13.0,600.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,petro-canada and others,oil,declining production,cretaceous,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2460,11.0,12.0,23.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk,europe,north sea southern,shell,gas,declining production,permian,sandstone,offshore,onshore-offshore,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7420,715.0,580.0,11.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
oman,middle east,ghaba salt,pdo,oil,plateau production,cretaceous,chalky limestone,onshore,onshore,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4478,200.0,110.0,27.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,permian,conocophillips,oil,nearly depleted,permian,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2650,47.0,25.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
turkmenistan,former soviet union,caspian south,turkmenneft,oil,mature production,neogene,sandstone,onshore-offshore,onshore-offshore,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5200,7500.0,800.0,23.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,western overthrust,bp,gas-condensate,declining production,jurassic,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12370,1020.0,816.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
algeria,africa,ghadames,sonatrach,oil,rejuvenating,cambrian,sandstone,onshore,onshore,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8200,1800.0,902.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
oman,middle east,ghaba salt,pdo,gas-condensate,developing,cambrian-ordovician,sandstone,onshore,onshore,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14600,700.0,450.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,talisman,oil,mature production,carboniferous,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3000,450.0,296.0,8.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
gabon,africa,gabon south,vaalco,oil,developing,cretaceous,sandstone,offshore,offshore,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5590,47.0,36.0,30.0,1550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
turkmenistan,former soviet union,caspian south,turkmenneft,oil,mature production,neogene,sandstone,onshore-offshore,onshore-offshore,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1800,7500.0,190.0,19.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore-offshore
usa,north america,sierra grande uplift,bp,carbon dioxide,plateau production,permian,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1960,250.0,120.0,20.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
indonesia,far east,sumatra central,caltex pacific,oil,rejuvenating,neogene,low-resistivity sandstone,onshore,onshore-offshore,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1060,120.0,70.0,32.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk,europe,north sea southern,conocophillips,gas,declining production,permian,sandstone,offshore,onshore-offshore,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8175,375.0,369.0,16.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
usa,north america,fort worth,numerous,gas,mature production,carboniferous,conglomerate,onshore,onshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4500,1100.0,73.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,western canada,numerous,gas-condensate,declining production,devonian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11500,300.0,60.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,onshore
qatar,middle east,the gulf,qatar petroleum,oil,unknown,jurassic,limestone,onshore-offshore,onshore-offshore,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6721,120.0,75.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
norway,europe,north sea central,conocophillips,gas-condensate,abandoned,cretaceous-paleogene,chalk,offshore,offshore,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,9870,650.0,360.0,30.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
russia,former soviet union,siberian eastern,verkhnechonskneftegaz,oil,developing,proterozoic,sandstone,onshore,onshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5216,200.0,25.0,10.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,unknown,san joaquin,chevron and others,oil,mature production,neogene,shaly sandstone,onshore,onshore,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,500,700.0,190.0,34.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
venezuela,latin america,eastern venezuela,pdvsa,oil,continuing development,neogene,sandstone,onshore,onshore,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10150,300.0,160.0,13.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,gulf of mexico northern onshore,callon petroleum and others,oil,mature production,paleogene,sandstone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,10082,135.0,26.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
canada,north america,western canada,numerous,oil,declining production,devonian,limestone,onshore,onshore,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5866,756.0,400.0,11.8,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,shell,gas-condensate,mature production,devonian-carboniferous,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8100,2350.0,142.0,4.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,permian,occidental,oil,nearly depleted,permian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4810,600.0,40.0,9.9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,colville,conocophillips,oil,plateau production,jurassic,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6600,50.0,49.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
australia,far east,otway,boral energy resources ltd,gas,plateau production,cretaceous,sandstone,onshore,onshore-offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9286,221.0,62.0,14.5,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk,europe,north sea northern,dno,oil,mature production,jurassic,sandstone,offshore,offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8981,210.0,113.0,10.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
norway,europe,north sea central,conocophillips,oil,second plateau prodution,cretaceous-paleogene,chalk,offshore,offshore,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,9250,820.0,590.0,32.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
usa,north america,uinta/piceance,chevron,oil,declining production,carboniferous-permian,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5500,526.0,189.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,williston,tenneco /cenex /shell,oil,declining production,carboniferous,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9125,105.0,40.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,williston,amerada hess,oil,rejuvenating,carboniferous,limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8350,120.0,20.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,east texas salt,exxonmobil,oil,nearly depleted,cretaceous,sandstone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4059,275.0,44.0,25.0,2460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk,europe,north sea central,shell,oil,depleted,permian,dolomite,offshore,offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7044,30.0,30.0,13.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
canada,north america,western canada,imperial oil resources,oil,nearly depleted,devonian,limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3080,800.0,100.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
norway,europe,mid-norway shelf,statoilhydro,oil,plateau production,jurassic,sandstone,offshore,offshore,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5692,230.0,207.0,28.0,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
egypt,africa,gindi,qarun petroleum,oil,developing,cretaceous,low-resistivity sandstone,onshore,onshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8450,145.0,45.0,18.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
